Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2024-06-24,Actions,Compute - UBUNTU,129,minute,0.008,1.0,foundationmsf,mobileapp,syedmsf,.github/workflows/dev_unit_test_with_code_coverage.yml,
2024-06-24,Actions,Compute - UBUNTU,126,minute,0.008,1.0,foundationmsf,mobileapp,kalyani-msf,.github/workflows/dev_unit_test_with_code_coverage.yml,
2024-06-24,Actions,Compute - UBUNTU,3,minute,0.008,1.0,foundationmsf,mobileapp,syedmsf,.github/workflows/clear_cache.yml,
2024-06-24,Actions,Compute - UBUNTU,39,minute,0.008,1.0,foundationmsf,mobileapp,harshal-msf,.github/workflows/dev_unit_test_with_code_coverage.yml,
2024-06-24,Actions,Compute - UBUNTU,174,minute,0.008,1.0,foundationmsf,mobileapp,kalyani-msf,.github/workflows/dev_instrumentation_tests.yml,
2024-06-24,Actions,Compute - UBUNTU,231,minute,0.008,1.0,foundationmsf,mobileapp,syedmsf,.github/workflows/dev_instrumentation_tests.yml,
2024-06-24,Actions,Compute - UBUNTU,5,minute,0.008,1.0,foundationmsf,antibiogo-approvals,elangoRamar,.github/workflows/deploy_preview.yml,
2024-06-24,Actions,Compute - UBUNTU,4,minute,0.008,1.0,foundationmsf,mobileapp,syedmsf,.github/workflows/dependency_scan.yml,
2024-06-24,Actions,Compute - UBUNTU,68,minute,0.008,1.0,foundationmsf,mobileapp,syedmsf,.github/workflows/dev_release_internal.yml,
2024-06-24,Actions,Compute - UBUNTU,7,minute,0.008,1.0,foundationmsf,mobileapp,FannyDemey,.github/workflows/dev_unit_test_with_code_coverage.yml,
2024-06-24,Actions,Compute - UBUNTU,11,minute,0.008,1.0,foundationmsf,mobileapp,FannyDemey,.github/workflows/dev_instrumentation_tests.yml,
2024-06-24,Actions,Compute - UBUNTU,46,minute,0.008,1.0,foundationmsf,mobileapp,harshal-msf,.github/workflows/dev_release_internal.yml,
2024-06-24,Shared Storage,Shared Storage,0.0162,gb-day,0.008,1.0,foundationmsf,antibiogo-qa-automation,,,
2024-06-24,Shared Storage,Shared Storage,0.5864,gb-day,0.008,1.0,foundationmsf,mobileapp,,,
2024-06-24,Shared Storage,Shared Storage,0.043,gb-day,0.008,1.0,foundationmsf,expertsystem,,,
2024-06-25,Actions,Compute - UBUNTU,149,minute,0.008,1.0,foundationmsf,mobileapp,kalyani-msf,.github/workflows/dev_instrumentation_tests.yml,
2024-06-25,Actions,Compute - UBUNTU,4,minute,0.008,1.0,foundationmsf,expertsystem,elangoRamar,.github/workflows/pull_request.yml,
2024-06-25,Actions,Compute - UBUNTU,55,minute,0.008,1.0,foundationmsf,mobileapp,kalyani-msf,.github/workflows/dev_unit_test_with_code_coverage.yml,
2024-06-25,Actions,Compute - UBUNTU,2,minute,0.008,1.0,foundationmsf,mobileapp,kalyani-msf,.github/workflows/clear_cache.yml,
2024-06-25,Actions,Compute - UBUNTU,103,minute,0.008,1.0,foundationmsf,mobileapp,FannyDemey,.github/workflows/dev_instrumentation_tests.yml,
2024-06-25,Actions,Compute - UBUNTU,163,minute,0.008,1.0,foundationmsf,mobileapp,FannyDemey,.github/workflows/dev_unit_test_with_code_coverage.yml,
2024-06-25,Actions,Compute - UBUNTU,1,minute,0.008,1.0,foundationmsf,mobileapp,FannyDemey,.github/workflows/clear_cache.yml,
2024-06-25,Actions,Compute - UBUNTU,2,minute,0.008,1.0,foundationmsf,mobileapp,kalyani-msf,.github/workflows/dependency_scan.yml,
2024-06-25,Actions,Compute - UBUNTU,23,minute,0.008,1.0,foundationmsf,mobileapp,kalyani-msf,.github/workflows/dev_release_internal.yml,
2024-06-25,Actions,Compute - UBUNTU,54,minute,0.008,1.0,foundationmsf,mobileapp,laniruthn2,.github/workflows/dev_instrumentation_tests.yml,
2024-06-25,Actions,Compute - UBUNTU,89,minute,0.008,1.0,foundationmsf,mobileapp,laniruthn2,.github/workflows/dev_unit_test_with_code_coverage.yml,
2024-06-25,Actions,Compute - UBUNTU,25,minute,0.008,1.0,foundationmsf,mobileapp,harshal-msf,.github/workflows/dev_unit_test_with_code_coverage.yml,
2024-06-25,Actions,Compute - UBUNTU,51,minute,0.008,1.0,foundationmsf,mobileapp,harshal-msf,.github/workflows/dev_instrumentation_tests.yml,
2024-06-25,Actions,Compute - UBUNTU,1,minute,0.008,1.0,foundationmsf,mobileapp,laniruthn2,.github/workflows/clear_cache.yml,
