Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2024-05-10,Actions,Compute - UBUNTU,3,minute,0.008,1.0,thebwt,chzbrgr-modpacks,thebwt,.github/workflows/static.yml,
2024-05-10,Actions,Compute - UBUNTU,25,minute,0.008,1.0,thebwt,chzbrgr-modpacks,github-codespaces[bot],Create Codespaces Prebuilds,
2024-05-10,Actions,Compute - UBUNTU,1,minute,0.008,1.0,thebwt,foundry-landing,thebwt,.github/workflows/static.yml,
2024-05-10,Actions,Compute - UBUNTU,2,minute,0.008,1.0,thebwt,thebwt-personal,thebwt,.github/workflows/static.yml,
2024-05-10,Actions,Compute - UBUNTU,3,minute,0.008,1.0,thebwt,dnscontrol-config,thebwt,.github/workflows/dnscontrol-preview.yml,
2024-05-10,Actions,Compute - UBUNTU,3,minute,0.008,1.0,thebwt,dnscontrol-config,thebwt,.github/workflows/dnscontrol-push.yml,
2024-05-10,Shared Storage,Shared Storage,0.0221,gb-day,0.008,1.0,thebwt,chzbrgr-modpacks,,,
2024-05-10,Shared Storage,Shared Storage,0.0001,gb-day,0.008,1.0,thebwt,foundry-landing,,,
2024-05-10,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,thebwt,thebwt-personal,,,
2024-05-10,Codespaces - Linux,Compute - 2 core,0.0646,hour,0.18,1.0,thebwt,codespaces-blank,thebwt,,
2024-05-10,Codespaces - Linux,Storage,0.0001,gb-month,0.07,1.0,thebwt,codespaces-blank,thebwt,,
2024-05-10,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,thebwt,dnscontrol-config,thebwt,,
2024-05-10,Codespaces - Linux,Compute - 2 core,0.6617,hour,0.18,1.0,thebwt,dnscontrol-config,thebwt,,
2024-05-10,Codespaces - Linux,Storage,0.0654,gb-month,0.07,1.0,thebwt,chzbrgr-modpacks,thebwt,,
2024-05-10,Codespaces - Linux,Compute - 2 core,1.0576,hour,0.18,1.0,thebwt,chzbrgr-modpacks,thebwt,,
2024-05-10,Codespaces - Linux,Prebuild storage,0.5138,gb-month,0.07,1.0,thebwt,chzbrgr-modpacks,,Create Codespaces Prebuilds,
2024-05-10,Codespaces - Linux,Compute - 2 core,0.2927,hour,0.18,1.0,thebwt,configs,thebwt,,
2024-05-10,Codespaces - Linux,Storage,0.0215,gb-month,0.07,1.0,thebwt,configs,thebwt,,
